,total,name,uf,regiao,ano
1,314,MIGUEL,RO,Norte,2021
2,241,GAEL,RO,Norte,2021
3,240,ARTHUR,RO,Norte,2021
4,235,HEITOR,RO,Norte,2021
5,233,HELENA,RO,Norte,2021
6,223,MARIA ALICE,RO,Norte,2021
7,204,ALICE,RO,Norte,2021
8,182,DAVI,RO,Norte,2021
9,177,CECILIA,RO,Norte,2021
10,168,SAMUEL,RO,Norte,2021
11,166,LAURA,RO,Norte,2021
12,164,JOAO MIGUEL,RO,Norte,2021
13,143,RAVI,RO,Norte,2021
14,135,THEO,RO,Norte,2021
15,130,HELOISA,RO,Norte,2021
16,126,GABRIEL,RO,Norte,2021
17,119,NOAH,RO,Norte,2021
18,116,ISADORA,RO,Norte,2021
19,109,MARIA CECILIA,RO,Norte,2021
20,105,ANTHONY,RO,Norte,2021
21,102,BENICIO,RO,Norte,2021
22,95,ANA JULIA,RO,Norte,2021
23,95,LORENA,RO,Norte,2021
24,94,ELOA,RO,Norte,2021
25,94,VALENTINA,RO,Norte,2021
26,92,ENZO GABRIEL,RO,Norte,2021
27,88,JULIA,RO,Norte,2021
28,87,MURILO,RO,Norte,2021
29,85,NICOLAS,RO,Norte,2021
30,85,JOAO PEDRO,RO,Norte,2021
31,84,PEDRO,RO,Norte,2021
32,84,MARIA CLARA,RO,Norte,2021
33,83,MAITE,RO,Norte,2021
34,80,LORENZO,RO,Norte,2021
35,79,MARIA HELENA,RO,Norte,2021
36,78,ISIS,RO,Norte,2021
37,78,LIVIA,RO,Norte,2021
38,76,ISABELLA,RO,Norte,2021
39,75,EMANUELLY,RO,Norte,2021
40,75,MARIANA,RO,Norte,2021
41,74,SOFIA,RO,Norte,2021
42,74,REBECA,RO,Norte,2021
43,74,EMANUEL,RO,Norte,2021
44,74,GUILHERME,RO,Norte,2021
45,73,ELISA,RO,Norte,2021
46,73,GUSTAVO,RO,Norte,2021
47,71,BERNARDO,RO,Norte,2021
48,71,LUCAS,RO,Norte,2021
49,70,SOPHIA,RO,Norte,2021
50,70,ANA CLARA,RO,Norte,2021
1,133,MARIA ALICE,AC,Norte,2021
2,112,ARTHUR,AC,Norte,2021
3,110,GAEL,AC,Norte,2021
4,104,JOAO MIGUEL,AC,Norte,2021
5,102,RAVI,AC,Norte,2021
6,98,HEITOR,AC,Norte,2021
7,79,SAMUEL,AC,Norte,2021
8,77,MIGUEL,AC,Norte,2021
9,75,DAVI,AC,Norte,2021
10,72,MARIA CECILIA,AC,Norte,2021
11,72,ENZO GABRIEL,AC,Norte,2021
12,67,THEO,AC,Norte,2021
13,60,HELENA,AC,Norte,2021
14,59,NOAH,AC,Norte,2021
15,59,GUILHERME,AC,Norte,2021
16,56,ANA VITORIA,AC,Norte,2021
17,55,LEVI,AC,Norte,2021
18,55,PEDRO HENRIQUE,AC,Norte,2021
19,54,JOAO GUILHERME,AC,Norte,2021
20,54,GABRIEL,AC,Norte,2021
21,51,MAITE,AC,Norte,2021
22,49,LORENA,AC,Norte,2021
23,49,REBECA,AC,Norte,2021
24,47,LAURA,AC,Norte,2021
25,47,HELOISA,AC,Norte,2021
26,47,ALICE,AC,Norte,2021
27,46,ESTHER,AC,Norte,2021
28,46,BERNARDO,AC,Norte,2021
29,44,MURILO,AC,Norte,2021
30,44,BENJAMIN,AC,Norte,2021
31,43,ISADORA,AC,Norte,2021
32,43,ELOA,AC,Norte,2021
33,42,LORENZO,AC,Norte,2021
34,42,MARIA HELENA,AC,Norte,2021
35,41,JOAO PEDRO,AC,Norte,2021
36,41,ANA JULIA,AC,Norte,2021
37,41,JOAO LUCAS,AC,Norte,2021
38,41,MARIA CLARA,AC,Norte,2021
39,38,MARIA EDUARDA,AC,Norte,2021
40,38,ANA LIZ,AC,Norte,2021
41,38,ISAAC,AC,Norte,2021
42,37,NICOLAS,AC,Norte,2021
43,36,MARIA JULIA,AC,Norte,2021
44,36,VALENTINA,AC,Norte,2021
45,36,AYLA,AC,Norte,2021
46,35,DANIEL,AC,Norte,2021
47,35,RHAVI,AC,Norte,2021
48,34,ANTHONY,AC,Norte,2021
49,34,ELIAS,AC,Norte,2021
50,33,CECILIA,AC,Norte,2021
1,468,ARTHUR,AM,Norte,2021
2,365,MARIA ALICE,AM,Norte,2021
3,357,GAEL,AM,Norte,2021
4,347,MIGUEL,AM,Norte,2021
5,323,HEITOR,AM,Norte,2021
6,302,SAMUEL,AM,Norte,2021
7,287,JOAO MIGUEL,AM,Norte,2021
8,263,RAVI,AM,Norte,2021
9,261,MARIA CLARA,AM,Norte,2021
10,224,GABRIEL,AM,Norte,2021
11,223,DAVI,AM,Norte,2021
12,215,ENZO GABRIEL,AM,Norte,2021
13,214,NOAH,AM,Norte,2021
14,214,ANTHONY,AM,Norte,2021
15,212,LAURA,AM,Norte,2021
16,210,MARIA JULIA,AM,Norte,2021
17,209,HELENA,AM,Norte,2021
18,205,MARIA,AM,Norte,2021
19,204,ALICE,AM,Norte,2021
20,203,BERNARDO,AM,Norte,2021
21,202,ANA CLARA,AM,Norte,2021
22,198,ISADORA,AM,Norte,2021
23,195,THEO,AM,Norte,2021
24,176,MARIA EDUARDA,AM,Norte,2021
25,165,VALENTINA,AM,Norte,2021
26,164,PEDRO HENRIQUE,AM,Norte,2021
27,155,LEVI,AM,Norte,2021
28,155,MARIA HELENA,AM,Norte,2021
29,152,MARIA CECILIA,AM,Norte,2021
30,150,MARIA ISIS,AM,Norte,2021
31,149,GUILHERME,AM,Norte,2021
32,142,LUCAS,AM,Norte,2021
33,141,ELOA,AM,Norte,2021
34,141,NICOLAS,AM,Norte,2021
35,139,MAITE,AM,Norte,2021
36,137,REBECA,AM,Norte,2021
37,135,ARTHUR MIGUEL,AM,Norte,2021
38,135,AYLA,AM,Norte,2021
39,134,JOSE,AM,Norte,2021
40,132,LORENZO,AM,Norte,2021
41,131,HELOISA,AM,Norte,2021
42,130,DANIEL,AM,Norte,2021
43,126,AURORA,AM,Norte,2021
44,126,BENICIO,AM,Norte,2021
45,123,MARIA LUIZA,AM,Norte,2021
46,121,MURILO,AM,Norte,2021
47,121,JOAO PEDRO,AM,Norte,2021
48,120,ANA JULIA,AM,Norte,2021
49,117,ANA VITORIA,AM,Norte,2021
50,117,JOAO GUILHERME,AM,Norte,2021
1,55,MIGUEL,RR,Norte,2021
2,51,JOAO MIGUEL,RR,Norte,2021
3,50,MARIA ALICE,RR,Norte,2021
4,50,HEITOR,RR,Norte,2021
5,48,GAEL,RR,Norte,2021
6,47,SAMUEL,RR,Norte,2021
7,47,GABRIEL,RR,Norte,2021
8,46,ARTHUR,RR,Norte,2021
9,42,HELENA,RR,Norte,2021
10,42,DAVI,RR,Norte,2021
11,40,HELOISA,RR,Norte,2021
12,35,LAURA,RR,Norte,2021
13,34,MARIA CLARA,RR,Norte,2021
14,34,MARIA CECILIA,RR,Norte,2021
15,34,ENZO GABRIEL,RR,Norte,2021
16,31,MARIA EDUARDA,RR,Norte,2021
17,31,THEO,RR,Norte,2021
18,30,MARIA JULIA,RR,Norte,2021
19,30,BERNARDO,RR,Norte,2021
20,29,NOAH,RR,Norte,2021
21,29,ALICE,RR,Norte,2021
22,27,ANA CLARA,RR,Norte,2021
23,27,CECILIA,RR,Norte,2021
24,26,PEDRO HENRIQUE,RR,Norte,2021
25,25,RAVI,RR,Norte,2021
26,24,MARIA HELENA,RR,Norte,2021
27,23,ARTHUR MIGUEL,RR,Norte,2021
28,23,EMANUEL,RR,Norte,2021
29,22,ELOA,RR,Norte,2021
30,22,DANIEL,RR,Norte,2021
31,21,PEDRO,RR,Norte,2021
32,21,ISADORA,RR,Norte,2021
33,21,MARIA ISIS,RR,Norte,2021
34,21,ANA JULIA,RR,Norte,2021
35,20,GUSTAVO,RR,Norte,2021
36,20,LUCAS,RR,Norte,2021
37,20,ANTHONY,RR,Norte,2021
38,20,MARIANA,RR,Norte,2021
39,19,MARIA LUIZA,RR,Norte,2021
40,19,LUCAS GABRIEL,RR,Norte,2021
41,19,ANTHONY GABRIEL,RR,Norte,2021
42,18,REBECA,RR,Norte,2021
43,18,BENICIO,RR,Norte,2021
44,17,JOSUE,RR,Norte,2021
45,17,GUILHERME,RR,Norte,2021
46,17,ISIS,RR,Norte,2021
47,17,AURORA,RR,Norte,2021
48,17,AYLA,RR,Norte,2021
49,17,MAITE,RR,Norte,2021
50,17,ISABELLA,RR,Norte,2021
1,892,GAEL,PA,Norte,2021
2,876,MARIA ALICE,PA,Norte,2021
3,784,JOAO MIGUEL,PA,Norte,2021
4,776,ARTHUR,PA,Norte,2021
5,753,HEITOR,PA,Norte,2021
6,749,MIGUEL,PA,Norte,2021
7,604,SAMUEL,PA,Norte,2021
8,602,MARIA CECILIA,PA,Norte,2021
9,553,ENZO GABRIEL,PA,Norte,2021
10,551,DAVI,PA,Norte,2021
11,540,RAVI,PA,Norte,2021
12,492,GABRIEL,PA,Norte,2021
13,450,ALICE,PA,Norte,2021
14,445,LAURA,PA,Norte,2021
15,421,HELENA,PA,Norte,2021
16,421,MARIA CLARA,PA,Norte,2021
17,407,MARIA JULIA,PA,Norte,2021
18,399,MARIA EDUARDA,PA,Norte,2021
19,375,JOAO GUILHERME,PA,Norte,2021
20,365,JOAO LUCAS,PA,Norte,2021
21,354,MARIA ISIS,PA,Norte,2021
22,353,ANTHONY,PA,Norte,2021
23,353,THEO,PA,Norte,2021
24,348,REBECA,PA,Norte,2021
25,347,MARIA HELENA,PA,Norte,2021
26,342,ISADORA,PA,Norte,2021
27,337,LORENZO,PA,Norte,2021
28,334,MAITE,PA,Norte,2021
29,331,NICOLAS,PA,Norte,2021
30,330,GUILHERME,PA,Norte,2021
31,327,CECILIA,PA,Norte,2021
32,324,PEDRO HENRIQUE,PA,Norte,2021
33,320,BERNARDO,PA,Norte,2021
34,317,ELOA,PA,Norte,2021
35,312,ANA CLARA,PA,Norte,2021
36,312,VALENTINA,PA,Norte,2021
37,309,NOAH,PA,Norte,2021
38,307,MARIA,PA,Norte,2021
39,305,HELOISA,PA,Norte,2021
40,301,DANIEL,PA,Norte,2021
41,284,ANA VITORIA,PA,Norte,2021
42,280,MARIA LUIZA,PA,Norte,2021
